테이블	No	속성명(한글)	컬럼명	데이터타입	컬럼 옵션	DEFAULT	비고	변수명
users	1	회원 ID	userId	BIGINT	PK	IDENTITY		userId
users	2	이메일	email	VARCHAR(100)	NN, UK		로그인 ID 로 사용	email
users	3	비밀번호	password	VARCHAR(100)	NN		BCrypt 해시 저장	password
users	4	이름	name	VARCHAR(50)	NN			name
users	5	연락처	phone	VARCHAR(20)				phone
users	6	권한	role	VARCHAR(20)	NN		enum Role (USER / STAFF / ADMIN)	role
users	7	가입일시	createdAt	TIMESTAMP	NN	자동 생성(PrePersist)		createdAt
centers	1	센터 ID	centerId	BIGINT	PK	IDENTITY	Warehouse enum(WH1/WH2)을 승격한 테이블	centerId
centers	2	센터 코드	centerCode	VARCHAR(20)	NN, UK		업무 식별자 · 목록/선택상자 정렬 기준 (예: C1-YS)	centerCode
centers	3	센터명	name	VARCHAR(50)	NN		화면 표기명 (예: 충남 예산 센터)	name
centers	4	권역	region	VARCHAR(30)			담당 권역 (예: 충남 서북부)	region
centers	5	주소	address	VARCHAR(200)			기획 단계에는 범위로 적힌다 (예: 고덕면 몽곡리 667 일대)	address
centers	6	운영 방향	note	VARCHAR(100)			도면 탭 부제 · 지도 팝업에 표시 (예: 양계 · 양돈 중심)	note
centers	7	위도	latitude	DOUBLE			지도 핀 위도(WGS84) / 부지 확정 전에는 null	latitude
centers	8	경도	longitude	DOUBLE			위경도 둘 다 있어야 지도에 표시된다	longitude
centers	9	운영 여부	active	BOOLEAN	NN	TRUE	false = 운영 중지 / 선택상자에서 제외	active
centers	10	등록일시	createdAt	TIMESTAMP	NN	자동 생성(PrePersist)		createdAt
products	1	품목 ID	productId	BIGINT	PK	IDENTITY		productId
products	2	품목 코드	productCode	VARCHAR(30)	NN, UK		업무 식별자 (예: FD-CT-001)	productCode
products	3	품목명	name	VARCHAR(200)	NN			name
products	4	제조사	manufacturerId	BIGINT	FK		공급업체 / NULL 허용 — 제조사를 모르는 상태로 등록하는 품목이 있다	manufacturer
products	5	축종	animalType	VARCHAR(20)	NN		enum AnimalType (CATTLE / PIG / POULTRY)	animalType
products	6	품목 구분	productType	VARCHAR(20)	NN	FEED	enum ProductType (FEED / SUPPLEMENT)	productType
products	7	포장 무게(kg)	weightKg	INT	NN			weightKg
products	8	판매 단가	price	BIGINT	NN			price
products	9	총 재고	totalStock	INT	NN	0	비정규화 캐시 = SUM(productLots.lotQuantity) / 전국 합계 (센터별로 나누지 않음)	totalStock
products	10	안전재고	safetyStock	INT	NN		대시보드 안전재고 알림 기준	safetyStock
products	11	유통기한 일수	shelfLifeDays	INT	NN		제조일 + 이 값 = 유통기한 자동 계산	shelfLifeDays
products	12	판매 여부	active	BOOLEAN	NN	TRUE	soft delete (물리 삭제하지 않음)	active
products	13	버전	version	BIGINT	NN	0	Version 낙관적 락	version
products	14	이미지 URL	imageUrl	VARCHAR(500)			B2C 쇼핑몰 전용 / 관리자 화면 미노출	imageUrl
products	15	상세 설명	description	VARCHAR(2000)			B2C 쇼핑몰 전용 / 관리자 화면 미노출	description
productLots	1	로트 ID	lotId	BIGINT	PK	IDENTITY		lotId
productLots	2	품목 ID	productId	BIGINT	NN, FK		FK products.productId / ManyToOne(LAZY)	product
productLots	3	로트 번호	lotNo	VARCHAR(50)	NN, UK		복합 UK ukProductLotNo (productId, lotNo)	lotNo
productLots	4	제조일자	manufacturedDate	DATE	NN			manufacturedDate
productLots	5	유통기한	expirationDate	DATE	NN		제조일 + products.shelfLifeDays 로 자동 계산	expirationDate
